Conference	2008	2009	2010	2011	2012
687	0	65	112	10	0
688	0	69	0	56	0
689	0	16	19	11	25
690	0	28	53	77	0
691	0	54	78	52	56
692	0	82	66	75	63
693	0	90	268	65	0
694	0	115	10	10	39
695	0	65	39	43	32
696	0	395	0	492	0
697	0	35	33	38	0
698	0	71	0	75	0
699	0	104	43	54	57
700	0	38	10	12	53
701	0	126	84	156	104
702	0	85	48	26	0
703	0	56	80	35	64
704	0	20	26	41	18
705	0	20	19	22	12
706	0	632	0	0	0
707	0	49	34	47	47
708	0	74	62	77	46
709	0	44	0	204	0
710	0	29	25	42	55
711	0	15	142	128	73
712	0	45	99	61	38
713	0	49	40	0	0
714	0	140	116	154	49
715	0	191	0	0	0
716	0	27	5	7	31
717	0	120	65	47	21
718	0	99	21	0	33
719	0	87	112	0	42
720	0	17	22	10	38
721	0	115	112	91	77
722	0	19	47	46	53
723	0	77	77	63	97
724	0	85	0	91	0
725	0	390	0	0	332
726	0	62	0	162	0
727	0	509	0	358	0
728	0	166	0	135	0
729	0	234	0	0	0
730	0	130	0	20	50
731	0	82	126	91	57
732	0	15	46	35	6
733	0	34	27	51	57
734	0	58	55	53	27
735	0	39	54	55	64
736	0	64	26	35	28
737	0	261	0	0	0
738	0	191	0	0	0
739	0	301	0	0	0
740	0	38	111	102	39
741	0	346	0	359	227
742	0	699	218	0	0
743	0	16	41	45	20
744	0	148	0	0	0
745	0	145	186	0	0
746	0	72	48	85	72
747	0	42	34	29	43
748	0	18	27	47	120
749	0	490	0	0	0
750	0	48	129	151	106
751	0	124	0	0	0
752	0	376	0	0	0
753	0	72	0	65	0
754	0	2	65	47	0
755	0	242	0	0	0
756	0	188	0	0	0
757	0	28	7	20	50
758	0	30	46	48	55
759	0	122	0	0	0
760	0	107	0	0	0
761	0	42	24	40	22
762	0	278	0	0	390
763	0	184	157	229	215
764	0	83	0	72	0
765	0	96	0	0	0
766	0	123	61	0	0
767	0	8	162	87	132
768	0	45	78	34	18
769	0	24	84	25	61
770	0	56	0	0	68
771	0	0	72	0	126
772	0	0	134	307	180
773	0	0	123	93	0
774	0	0	257	0	0
775	0	0	210	0	145
776	0	0	209	99	193
777	0	0	157	0	0
778	0	0	388	0	0
779	0	0	93	0	126
780	0	0	157	175	310
781	0	0	232	187	146
782	0	0	75	121	55
783	0	0	23	49	35
784	0	0	64	105	112
785	0	0	426	0	207
786	0	0	100	0	0
787	0	0	215	0	0
788	0	0	878	0	0
789	0	0	163	0	0
790	0	0	167	0	0
791	0	0	266	0	0
792	0	0	125	0	0
793	0	0	92	112	95
794	0	0	146	0	0
795	0	0	78	82	69
796	0	0	21	48	33
797	0	0	24	31	38
798	0	0	426	0	409
799	0	0	157	259	69
800	0	0	452	243	346
801	0	0	25	28	58
802	0	0	243	0	0
803	0	0	168	0	159
804	0	0	544	0	0
805	0	0	123	0	0
806	0	0	123	110	155
807	0	0	40	37	9
808	0	0	14	30	106
809	0	0	101	194	127
810	0	0	67	0	31
811	0	0	116	0	0
812	0	0	44	135	0
813	0	0	313	347	279
814	0	0	66	0	50
815	0	0	243	0	277
816	0	0	143	0	0
817	0	0	335	0	391
818	0	0	290	181	0
819	0	0	83	62	56
820	0	0	22	56	100
821	0	0	263	127	0
822	0	0	255	213	0
823	0	0	381	141	0
824	0	0	66	68	70
825	0	0	200	258	185
826	0	0	77	0	109
827	0	0	16	17	10
828	0	0	251	0	260
829	0	0	253	0	0
830	0	0	182	208	171
831	0	0	268	0	0
832	0	0	174	0	240
833	0	0	126	264	338
834	0	0	81	83	14
835	0	0	253	170	199
836	0	0	38	120	102
837	0	0	314	0	205
838	0	0	13	268	0
839	0	0	70	20	37
840	0	0	171	157	94
841	0	0	118	204	273
842	0	0	271	0	0
843	0	0	108	0	0
844	0	0	54	50	47
